product_code,description,stock_qty,avg,total_stock,main_bin,alt_bin_1,alt_bin_2,alt_bin_3,bin_group
107127,SIKA 5L RAINTITE BROWN,5.0,159.04,795.22,001,,,,001
107128,SIKA 5L RAINTITE CHARCOAL,31.0,159.91,4957.33,001,,,,001
107129,SIKA 5L RAINTITE GREEN,6.0,158.95,953.7,001,,,,001
107130,SIKA 5L RAINTITE GREY,19.0,162.5,3087.5,001,,,,001
107131,SIKA 5L RAINTITE RED,17.0,161.59,2747.15,001,,,,001
107132,SIKA 5L RAINTITE KIT TERRACOTTA,6.0,161.81,970.9,001,,,,001
107133,SIKA 5L RAINTITE KIT WHITE,8.0,159.61,1276.94,001,,,,001
122143,SIKA 5L RAINTITE KIT BLACK,19.0,162.33,3084.3,001,,,,001
123318,SIKA RAINTITE MEMBRANE PER MT (100),674.3,9.0,6068.7,001,,,,001
135806,SIKA 1L RAINTITE GREY,6.0,65.85,395.1,001,,,,001
135807,SIKA 1L RAINTITE CHARCOAL,3.0,65.85,197.55,001,,,,001
136826,AFRICA RHINO SHIELD DAMP GUARD 5LT,-1.0,255.0,-255.0,001,,,,001
107122,SIKA 5L BLACKSEAL LASTIC,4.0,206.0,824.0,002,,,,002
107123,SIKA 5L CEMFLEX,29.0,455.81,13218.57,002,,,,002
107134,SIKA 5L SIKAGARD 703W,6.0,699.0,4194.0,002,,,,002
107143,SIKA MEMBRANE CEMFLEX,201.0,21.6,4341.6,002,,,,002
107145,SIKA PLASTERSTIK 5L,1.0,351.0,351.0,002,,,,002
107153,SIKAGARD 905W 5L,3.0,393.0,1179.0,002,,,,002
120969,SIKA CEMFLEX 1L,4.0,144.7,578.8,002,,,,002
127622,SIKA LASTIC 560 WHITE 5L,1.0,574.0,574.0,002,,,,002
127623,SIKA LASTIC 560 GREY 5L,2.0,574.0,1148.0,002,,,,002
130006,SIKA RAPID CC 5LT ZH0064,4.0,299.0,1196.0,002,,,,002
133968,SIKA EVERBUILD XL FIRE CEMENT-BKT-2KG,4.0,193.0,772.0,002,,,,002
107140,SIKA GROUT 212 25KG,17.0,190.0,3230.0,003,,,,003
107154,SIKALITE 1KG,45.0,70.19,3158.99,003,,,,003
122790,SIKA MULTISEAL TAPE ALUM 50mm X2.5M ROLL,14.0,36.16,506.31,003,,,,003
122791,SIKA MULTISEAL TAPE ALUM 75mm X2.5M ROLL,13.0,52.0,676.0,003,,,,003
122792,SIKA MULTISEAL TAPE ALUM 100mm X2.5M ROL,8.0,73.04,584.39,003,,,,003
132294,SIKA QUICK 2500-25KG ZH0506,2.0,425.0,850.0,003,,,,003
136761,TAL SEALMASTER SEALANT GREY 600ML,19.0,90.0,1710.0,003,,,,003
137584,SIKA EMACO 303 20KG GREY,5.0,420.0,2100.0,003,,,,003
138323,SIKAFLEX 11FC PURFORM BLACK 600ML SOFT T,-20.0,215.0,-4300.0,003,,,,003
138474,SIKA WALL-165 OFF WHITE 20KG,76.0,163.98,12462.86,003,,,,003
138509,SIKAFLEX 11FC PURFORM WHITE 600ML SOFT T,14.0,215.0,3010.0,003,,,,003
138510,SIKAFLEX 11FC PURFORM CON-GREY 600ML SOF,20.0,215.0,4300.0,003,,,,003
107137,SIKA EPOXY GP 1LT SIKADUR,1.0,261.17,261.17,004,,,,004
107138,SIKA EPOXY AP 250ML SIKADUR,13.0,107.5,1397.5,004,,,,004
107139,SIKA EPOXY AP 500ML SIKADUR,6.0,164.07,984.46,004,,,,004
107150,SIKAFLEX 11FC PURFOAM BROWN 300ML,6.0,150.0,900.0,004,,,,004
107151,SIKAFLEX 11FC CON/GREY 300ML,1.0,150.23,150.23,004,,,,004
107155,SIKA SILICONE SANISIL CLEAR 300ML,1.0,47.73,47.73,004,,,,004
125392,SIKA ANCHORFIX-1 STAT MIX NOZZLE,3.0,65.9,197.7,004,,,,004
126518,SIKAFLEX 112 CRYSTAL CLEAR 290ML,2.0,195.5,391.0,004,,,,004
130062,SIKAFLEX 118 EXTREME GRAB 290ML,3.0,118.57,355.71,004,,,,004
136363,SIKAFLEX 11FC PURFORM BLACK 300ML,2.0,150.27,300.54,004,,,,004
138324,SIKAFLEX AKTIVATOR-205 1L,1.0,222.0,222.0,004,,,,004
107463,ARG STRAIGHT EDGE 1.5M,3.0,79.99,239.97,005,,,,005
107465,IMP STRAIGHT EDGE 1MT,4.0,66.31,265.25,005,,,,005
107466,IMP STRAIGHT EDGE 2.0M,4.0,99.99,399.96,005,,,,005
107468,IMP STRAIGHT EDGE 2.5M,5.0,124.0,620.0,005,,,,005
107470,IMP STRAIGHT EDGE 3.0M,3.0,141.0,423.0,005,,,,005
133222,SIKA REEMAT PREMIUM MEMBRANE 1.27/105M,5.0,56.23,281.16,005,,,,005
133655,SIKA REEMAT PREMIUM ROLL 5M2,1.0,264.0,264.0,005,,,,005
133656,SIKA REEMAT PREMIUM ROLL 15M2,1.0,770.0,770.0,005,,,,005
131280,POWAFIX WATER PROOFER BURGUNDY 5L,4.0,121.2,484.81,006,,,,006
131281,POWAFIX WATER PROOFER CHARCOAL 5L,9.0,122.38,1101.42,006,,,,006
131282,POWAFIX WATER PROOFER GREY 5L,7.0,121.25,848.78,006,,,,006
131283,POWAFIX WATER PROOFER BLACK 5L,7.0,120.25,841.77,006,,,,006
131284,POWAFIX WATER PROOFER TERRACOTTA 5L,3.0,116.33,348.99,006,,,,006
133648,ABE DURASLURRY GREY 25KG,40.0,577.1,23084.0,006,,,,006
134097,POWAFIX WATER PROOFER RED 5L,4.0,116.49,465.97,006,,,,006
