Bar Code,Product Code,Full Description,VAT Inclusive Price,Manufacturers Product Code
  6009509920844,138152,RADIANT CEILING LIGHT GSD RAY 16W  LED  RC250,159,RC250
 6009509920783,138154, RADIANT CEILING LIGHT GSD AURA 12W LED RC244,124,RC244
 6009509920851,138151,RADIANT CEILING LIGHT GSD SQUARE  LED 12W  RC251,151,RC251
 ^60095 51 80 27 61,134248,EUROLUX G982WW 5W RECHARGEABLE LAMP B22,36,G982WW
 ^6009509920806,138150,RADIANT CEILING LIGHT GSD RAY 12W LED RC246,124,RC246
 ^6009509920820,138155,RADIANT CEILING LIGHT GSD AURA 16W LED RC248,150,RC248
 ^6009513360353,138237,SAMSON GARAGE LOCK COMPLETE SET,270,LOCK-00046BL
0,125827,FIXWELL HEAVY DUTY GLUE 200GR,74.06,MAS-GLUE/HD200
000000000000,133629,COBRA ADJUSTABLE HANDSHOWER WHITE 9980EW,131.26,9980EW
000000000000,133640,COBRA STREAM HANDSHOWER SATIN CHROME 9911SC,46,9911SC
0000000000000,131089,TORK EDGE TRIMMER BLADE FOR BIS01 - BIS03,196.24,BIS03
000000700371708320,121404,HYBRID WATER METER 15MM PVC,528, 
00114217009021489133,131291,EUROLUX BELUGA PENDANT E27 89133 P112 60W,587,P112
00114916009014987059,131292,EUROLUX BRENDA PENDANT E27 87059 P284SC 60W SATIN CHROME,304,P284SC
00211321009009491236,133294,EUROLUX C283 MARS C/LIGHT FLORAL 250MM WHITE,263.3,C283
00211818009038194896,121427,EUROLUX CEILING LIGHT BONARES PENDANT LIGHT P180 CHROME 135mm,658.93,P180
00213519009000580263,121019,EUROLUX CEILING LIGHT MARS TRIANGLES C194 WHITE 245mm,220.98,C194
00215122009059083132,129458,EUROLUX GRAFIK LINED W/LIGHT 180MM SILVER W165,228,W165
009326320755, ,New product,0, 
0116009710250652,124074,IMP COMPRESSION  ELBOW 90 CxC 15x15 SATAS/SABS,38,BR620A
020066123802, ,New product,0, 
020066171438, ,New product,0, 
020066172442, ,New product,0, 
020066172459, ,New product,0, 
020066172466,124492,RUSTOLEUM UNIV FLAT BLACK (245198),152.29,245198
020066172497,124493,RUSTOLEUM UNIV SATIN WHT (245210),152.29,245210
020066172503,124494,RUSTOLEUM UNIV GLOSS CARDINAL RED (245211),152.29,245211
020066172510,124495,RUSTOLEUM UNIV GLOSS COBALT BLUE (245212),152.29,245212
020066172527,124496,RUSTOLEUM UNIV GLOSS CANARY YELLOW (245213),152.29,245213
020066172534,124497,RUSTOLEUM UNIV GLOSS HUNTER GREEN 340G (245214),152.29,245214
020066172541,124498,RUSTOLEUM UNIV GLOSS ESPRESSO BROWN 340G (245215),152.29,245215
020066172558,124499,RUSTOLEUM UNIV GLOSS ARCTIC GRAY 340G (245216),152.29,245216
020066172565,124500,RUSTOLEUM UNIV GLOSS HAMMER BLACK 340G (245217),165.54,245217
020066172596,124501,RUSTOLEUM UNIV MET TITANIUM SILVER 340G (245220),161.12,245220
020066172602,124502,RUSTOLEUM UNIV MET PURE GOLD 340G (245221),161.12,245221
020066175733,124503,RUSTOLEUM UNIV MET HAMMERED COPPER 340G (247567),165.54,247567
020066175764,124504,RUSTOLEUM UNIV SATIN ESPRESSO BROWN 340G (247570),152.29,247570
020066187835,124505,RUSTOLEUM UNIV SATIN NICKEL METALLIC 340G (249130),161.12,249130
020066187842,124507,RUSTOLEUM UNIV AGES COPPER MET 340G (249132),161.12,249132
020066187859,124506,RUSTOLEUM UNIV OIL RUBBED BRONZE MET 340G (249131),161.12,249131
020066188764,124508,RUSTOLEUM UNIV SLATE GRAY 340G (249339),152.29,249339
020066189228,124509,P/TOUCH 2x SATIN CANYON BLACK (249844),99.34,249844
020066189235,124510,P/TOUCH 2x SATIN CLEAR (249845),99.34,249845
020066189242,124511,P/TOUCH 2x FLAT BLACK (249846),99.34,249846
020066189266,124512,P/TOUCH 2x GLOSS CHESTNUT (249847),99.34,249847
020066189280,124513,P/TOUCH 2x SEMI-GLOSS HUNT GREEN (249853),99.34,249847
020066189310,124514,P/TOUCH 2x SATIN LONDON GRAY (249857),99.34,249857
020066189334,124515,P/TOUCH 2x SEMI-GLOSS CLEAR (249859),99.34,249859
020066189341,124516,P/TOUCH 2x SEMI-GLOSS IVORY (249860),99.34,249860
020066189365,124517,P/TOUCH 2x GLOSS CRANBERRY (249863),99.34,249863
020066202446,124518,P/TOUCH 2x SATIN AUBERGINE (257419),99.34,257419
020066202453,124519,P/TOUCH 2x SATIN LAGOON (257461),99.34,257461
020066202460,124520,P/TOUCH 2x SATIN DARK WALNUT (257462),99.34,257462
020066202477,123478,RUST-OLEUM FROSTED GLASS SPRAY,121.44,257465
020066203573,124522,RUSTOLEUM UNIV DARK BRONZE HAMMERED (258199),165.54,258199
020066213176,124521,RUSTOLEUM UNIV METAL DARK STEEL (262662),161.12,262662
020066218744,124523,STOP RUST LEAK SEAL BLACK (265494),183.2,265494
020066219284, ,New product,0, 
020066222161,123481,RUST-OLEUM GLOW IN THE DARK SPRAY,255.76,267026
020066223434,123477,RUST-OLEUM SILVER GLITTER SPRAY,218.96,267734
020066223441, ,New product,0, 
020066223458,123479,RUST-OLEUM CLEAR GLITTER SEALER SPRAY,132.48,267736
020066227456,124524,SPECIALITY HI HEAT ULTRA SILVER (270201),124.36,270201
020066229801,124525,RUSTOLEUM UNIV FLAT MET CHESTNUT (271471),161.07,271471
020066229818,124526,RUSTOLEUM UNIV FLAT MET BRNSH AMBER (271472),161.07,271472
020066229825,124527,RUSTOLEUM UNIV FLAT MET SOFT IRON (271473),161.07,271473
020066229832,124528,RUSTOLEUM UNIV FLAT MET ANTIQUE NICKEL (271474),161.07,271474
020066229887,124529,RUSTOLEUM UNIV HAMMERED CHESTNUT (271479),187.62,271479
020066229894,124530,RUSTOLEUM UNIV HAMMERED BRNSH AMBER (271480),187.62,271480
020066229900,124531,RUSTOLEUM UNIV HAMMERED ANTIQ PEWTER (271481),214.11,271481
020066235055,124532,RUSTOLEUM NEVERWET MULTI PURPOSE KIT 3PK (274232),364.16,274232
020066237509,124533,STOP RUST ACCESS LEAKSEAL TAPE BLACK (275795),198.61,275795
020066237516,124534,STOP RUST ACCESS LEAKSEAL TAPE TRANSLUCENT (275796),198.61,275796
020066725181,124542,STOP RUST METALLIC COBALT BLUE (7251830),115.68,7251830
020066725686,124543,STOP RUST METALLIC APPLE RED (7256830),114.76,7256830
020066727086,124544,STOP RUST METALLIC GOLD RUSH (7270830),114.76,7270830
020066727284,124545,STOP RUST METALLIC DARK BRONZE (7272830),114.76,7272830
020066727482,124546,STOP RUST METALLIC ANTIQUE BRASS (7274830),114.76,7274830
020066727789,124547,STOP RUST METALLIC MATT NICKEL (7277830),109.11,7277830
020066727888,124548,STOP RUST METALLIC SILVER (7278830),172.25,7278830
020066758585,124551,EURO COLD CHISEL 200MM,42.3,COLD 200MM
020066775285,124550,SPECIALITY FLAT HIGH HEAT GREEN (7752830),124.78,7752830
020066777883, ,New product,0, 
020066783082,124549,STOP RUST REFORMER (7830730),153.64,7830730
020066786090,124552,SPECIALITY TUB & TILE KIT WHITE (7860519),766.12,7860519
020066788780,123482,RUST-OLEUM APPLIANCE EPOXY S/STEEL SPRAY,161.92,7887830
0211234567324,132280,HAR WRECKING BAR 600MM,81,IBH099
026748065248,124535,WATCO DANISH OIL CHERRY (65241),306.8,65241
026748065255,124554,WATCO DANISH OIL CHERRY 946ML (65251),203.07,65251
026748065446,124536,WATCO DANISH OIL FRUITWOOD (65441),278.28,65441
026748065552,124537,WATCO DANISH LT WALNUT (65551),203.07,65551
026748065743,124553,WATCO DANISH OIL NATURAL 946ML (65741A),278.28,65741A
026748065750,124538,WATCO DANISH OIL NATURAL (65751),203.07,65751
026748065859,124539,WATCO DANISH OIL DARK WALNUT (65851),203.07,65851
026748065958,124540,WATCO DANISH OIL MEDIUM WALNUT (65951),203.07,65951
029656324780, ,New product,0, 
034139612810,122697,ESTWING HAMMER CLAW LEATHER HANDLE 28oz,1584,EW-E28C
034139628415,122697,ESTWING HAMMER CLAW LEATHER HANDLE 28oz,1584,EW-E28C
035781019590,136705,BLUMOL HOLESAW MORTICE LOCK INSTALLATION KIT BLU6575,225.52,BLU6575
037231109370,132090,TROK ALLEN KEY SET BALL END 13PC 10937 BLX13,432.4,BONHB10937
040-608,129100,ZAP W/PROOF BOX STEALTH + PLUG PSO1,294.31,BOXWAN
0500310002829,103264,DPI SOCKET SV 50MM,6,W50DS020
051131659889,135125,COMMAND POSTER STRIPS (12) MT17024,64.37,MT17024
051131705340,135127,COMMAND STRIPS & JUMBO HOOK MT17004,95.22,MT17004
051131769083,135122,COMMAND DESIGNER HOOK MEDIUM WHITE MT17081,56.09,MT17081
051131809741,135119,COMMAND PICTURE HANGING STRIPS WHITE MEDIUM 3 SETS MT17201,53.33,MT17201
051131830271,135118,COMMAND PICTURE HANGING STRIPS WHITE SMALL 4 SETS MT17202,49.65,MT17202
051131851580,135121,COMMAND DESIGNER HOOK WITH BATH STRIPS MEDIUM MT17081B,117.67,MT17081B
051131921276,135123,COMMAND STRIPS & MEDIUM WIRE HOOKS MT17068,106.63,MT17068
051141322698,135117,COMMAND PICTURE HANGING STRIPS WHITE LARGE 4 SETS MT17206,90.13,MT17206
051141346991,135124,COMMAND CLEAR DECORATING CLIPS WITH CLEAR STRIPS MT17026CLR,89.21,MT17026CLR
051141347042,135120,COMMAND CLEAR HOOKS + CLEAR STRIPS MED MT17091CLR,73.51,MT17091CLR
051141369952,135116,COMMAND PICTURE HANGING STRIPS 4M/8L MT17209UKN,435.99,MT17209UKN
0600012345671,100336,CNN STAR  BIB TAP 22mm 60012345671,345,60012345671
06009712110278,137221,ELECTRA 4X4 BLANK COVER WHT,25,7843
06009712110421,137223,ELECTRA DB 8WAY+ MAIN SWITCH PLASTIC FLUSH BOX COMP,407,D8FC
06009712110438,137266,ELECTRA DB 12WAY PLASTIC FLUSH COMP,695,D12FC
06009712110452,130910,ELEC DB DIN BOX 18 WAY FLUSH,841,180449
0606110246934,129482,HOME TOUGH ROOF & PAVE BURGANDY PAINT 5L,283,1329
0606110246958,101128,AFRICA HOME GLOSS UNIVERSAL UNDERCOAT 1LT,96.97,250
0606110277549,136809,DELTA 8WAY SURFACE DB EMPTY BOX 180021,104.59,180021
0606110277754,134565,STAR BRITE ENERGY SAVER 28W E27 SPIRAL 793408,28,793408
0606110394543,132474,PIONEER GLOVE BUILDERS BLACK RUBBER G018,26,G018
0606110430494,135267,PIONEER CUT MASTER NITRI-GRIPA LV 5 PALM DIPPED G137,116.32,G137
0606110798365,134392,SUPAHOT FLANGE GASKET KIT,104,SUPAHOT FLANGE GASKET KIT
0606110884761,138372,GEAR PLAIN LUG 30X5 LUGWP35P,50,LUGWP35P
0610825129000,133509,MATUS SELF-SHIELDED FLUX CORED WIRE 0.9MM 1KG,356.04,MAT7085
0614143557620,129601,AFRICA 20L GUARDIAN RANGE 4 IN 1 WHITE,1196.46,12426
0614143558344,132346,AFRICA 20L HOME SOFT SHEEN WHITE,1203,2294
0647096806637,129975,KREG CABINET HARDWARE JIG,659,KHI-PULL
0658325495690,134390,COVER ALL BIDUM 1.3m x 10mt PACK,367,COVER ALL BIDUM
0658325633818,131109,PIONEER VISION EURO SAFETY SPECTACLE  AMBER PV001-A,23,PV001-A
0700083069023,104528,HOLDERBATS 75MM ALUM,30.36,GHB75
0700083069030,104517,HOLDERBAT 110MM ALUMINIUM,26,S110HB-110
0700083545329, ,New product,0, 
0700083545336, ,New product,0, 
0700371570248,124953,FAST FLOOR TILES 2SQM PACK,739.68,FF2P
0700371598488,136321,WELDARC WELDING INVER-TEK 150AMP WELDARC01,1600.8,WELDARC01
0700371599218,131108,PIONEER FLEX HANDYMAN GLOVE BLACK SIZE 10 G057-10MASS,32,G057-10MASS
0700371600099,128175,MT SAFETY VEST WITH ID POUCH,61,2378M
0700371600204,128175,MT SAFETY VEST WITH ID POUCH,61,2378M
0737186304164,132878,BUILDKOTE ROOFPAINT CHARCOA 5L,221,1317
0745853491277,132278,PIONEER WELD-ARC INVERTER 200A DC 220V WELDARC02,1720.4,WELDARC02
0745853565336,136826,AFRICA RHINO SHIELD DAMP GUARD 5LT,493,12424
076174004939,131764,STANLEY BLADE TRIMMING EXTRA HD 5 PACK 11-931,11.11,11-931
076174121643, ,New product,0, 
076174141252, ,New product,0, 
076174470642,104097,MATUS GAUGE FEELER 26 BLADES 100MM,174,SHA1023
076174474404,107385,STANLEY CHALKLINE 30M,79.95,STY47440
076174841114,132241,STANLEY WATERPUMP PLIER 300MM 84-111,258.12,84-111
0781159949036,138367,GEAR GATE ANTI LIFT CATCH 50MM GRC50,68,GRC50
082036814233, ,New product,0, 
094729402900,122680,BW TAP ADAPTOR 16mm-19mm 4029,9.36,BRTAP4029
094729403600, ,New product,0, 
094729440209,133056,WATEX 4PCS HOSE PIPE FITTING 15MM 1/2'' 4402,27.58,4402
094729603901,138809,IGH HOSE HANGER WATEX 6039,54,BRTTC50
100013,100013,-  2XS 54 CXMI STR COUPLER COMPRESSION,249.17,18834
100054,100054,- 64XS 15 SPARE CAPNUT COMPRESSION,10.42,18820
100055,100055,- 64XS 22 SPARE CAPNUT COMPRESSION,16.2,18821
100056,100056,- 64XS 28 SPARE CAPNUT COMPRESSION,46.92,18822
100060,100060,- 65XS 22 SPARE RING COMPRESSION(2),21.09,18824
100061,100061,- 65XS 28 SPARE RING COMPRESSION,18.22,18825
100063,100063,- 65XS 42 SPARE RING COMPRESSION,18.61,18869
100073,100073,"MBS PAINT BRUSH 2.5"" 63mm",14.7,NZ-1812
100074,100074,"MBS PAINT BRUSH 3"" 75mm",19.3, 
100076,100076,MBS NAIL IN ANCHOR 6x55 (10),10.12,NHIL5X6X55
100077, ,New product,0, 
100094, ,New product,0, 
100104,100104,0.4 X .900 X 1.8 FLAT SHEET,166,FLATIRON
100147, ,New product,0, 
100155, ,New product,0, 
100170,100170,LAZ CHAIR RUBBER FERRULE 16mm - SEP027 (2),4.16,SEP027
100181,100181,1022-50 CHECKVALVE SWINGTYPE COBRA,347,18696
100193, ,New product,0, 
100216,100216,112-15 HOSE PILLARTAP CP STAR,366.16,FPT2HOS3-0GT0054
100252,100252,125 HALFROUND GUTTERBRACK,27.6,125HRGUTTERB
100263, ,New product,0, 
100299,100299,18mm MASKING TAPE,18,MASKING 18
100309,100309,1L DARK BRONZE ENAMEL,299,BRON/DB-1L
100311,100311,1L LIGHT BRONZE ENAMEL,281,BRON/LB-1L
100335,100335,208-20 HOSE BIBTAP RB COBRA,298.08,17348
100336,100336,CNN STAR  BIB TAP 22mm 60012345671,345,60012345671
100385,100385,24mm MASKING TAPE,28,MASKING 24
100388,100388,25LT DVO 400 SHUTTER OIL,1038.6,DVO25LT
100413,100413,-268XS 35X22 MULTI-STEP REDUCER COMPRESSION,188.49,18854
100425,100425,AWSOM 2D TUBE T5 16W TRIP ENERGY SAVING 8000h 6500K,50.9,960LM
100484,100484,32MM FLEXI CLAMP,8,TRAPCLAMP
100488,100488,32MM PLUG FOR WASTE,2.23,WASPLG32
100499,100499,COBRA TOILET BIBTAP 3306ST-20 CP STELLA,444,104848
100508,100508,COBRA STOPTAP 3328ST-15 U/W FXF STELLA,488.34,102753
100533,100533,36mm MASKING TAPE,37,MASKING 400
100546,100546,38MM NUT FOR WASTE,3.43,WASNUT38
100562,100562,40MM FLEX CLAMP,8,W011
100594,100594,48mm MASKING TAPE,55,MASKING 500
100612, ,New product,0, 
100632,100632,5L DARK BRONZE ENAMEL,1123,BRON/DB-5L
100643,100643,5L LIGHT BRONZE ENAMEL,1114,BRON/LB-5L
100675,100675,-600M  15 SLIP COUPLER,4,18874
100692,100692,-601M  15 CXC STR COUPLER DELCOP,4,18877
100693,100693,-601M  22 CXC STR COUPLER DELCOP,9,18878
100697,100697,-601M  54 CXC STR COUPLER,43.27,18990
100699,100699,-601M 28X22 CXC RED COUPLER,22,18882
100705,100705,-603M  15 CXFI STR COUPLER DELCOP,13,18889
100706,100706,-603M  22 CXFI STR COUPLER DELCOP,24,18890
100709,100709,-603M 15X20 CXFI STR RED COUPLER,18,18892
100710,100710,-604M   15X20 CXMI STR RED COUPLER,18,18896
100711,100711,-604M  15 CXMI STR COUPLER DELCOP,15,18893
100713,100713,-604M  28 CXMI STR COUPLER,33,18895
100716,100716,-604M  54 CXMI STR COUPLER,112,19011
100717,100717,-606M  15 CXC ELBOW 45,5,18897
100718,100718,-606M  22 CXC ELBOW 45,14,18898
100720,100720,-607M  15 CXC ELBOW 90 DELCOP,3.9,18900
100722,100722,-607M  22X15 CXC RED ELBOW 90 DELCOP,18,19147
100735,100735,-611M DELCOP 35 CXCXC TEE,104.21,19027
100746,100746,-617M 22 TUBE END CAP,9,18943
100748,100748,-636M 15 CXC FULL CROSSOVER,24,18957
100766,100766,-707-3-5M 15 CXFI WALLPLATE ELBOW,32.18,18914
100767,100767,-707-3M 22 CXFI ELBOW 90 DELCOP,38,18911
100769,100769,707-3M ELBOW 15MM CXFI DELCOP,17,18910
100779,100779,75x128 SITE APP PLATE (320),11.89,TSANPA5
100781,100781,75x192 SITE APP PLATE (213),19.3,TSANPA6
100811, ,New product,0, 
100892,100892,MASON  BACKSAW 350mm SOFT GRIP HANDLE HB-0013,61.58,HB-0013
100933, ,New product,0, 
101014,101014,RUWAG STANDARD BRICK CARDED 13.00MM,58,RBRC51300
101058, ,New product,0, 
101093,101093,AFRICA 5L PLASTER PRIMER SOLVENT BASED-203,354,203
101107, ,New product,0, 
101124, ,New product,0, 
